Year,source,energy_type,total_btu,full_source,highlight_col,name_lab
1954,Commercial,Wind,21756.352,"Wind, Commercial",other,NA
1954,Industrial,Geothermal,16317.264000000001,"Geothermal, Industrial",other,NA
1954,Industrial,Hydroelectric,2672.544,"Hydroelectric, Industrial",other,NA
1954,Industrial,Solar,16317.264000000001,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1954,Industrial,Wind,21756.352,"Wind, Industrial",other,NA
1954,Residential,Geothermal,16317.264000000001,"Geothermal, Residential",other,NA
1954,Residential,Solar,16317.264000000001,"Solar, Residential","Solar, Residential","Solar, Residential"
1954,Transportation,Geothermal,16317.264000000001,"Geothermal, Transportation",other,NA
1954,Transportation,Hydroelectric,62596.512,"Hydroelectric, Transportation",other,NA
1954,Transportation,Solar,16317.264000000001,"Solar, Transportation",other,NA
1954,Transportation,Wind,21756.352,"Wind, Transportation",other,NA
1955,Commercial,Geothermal,16318.127999999999,"Geothermal, Commercial",other,NA
1955,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1955,Commercial,Solar,16318.127999999999,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1955,Commercial,Wind,21757.504,"Wind, Commercial",other,NA
1955,Industrial,Geothermal,16318.127999999999,"Geothermal, Industrial",other,NA
1955,Industrial,Hydroelectric,1831.152,"Hydroelectric, Industrial",other,NA
1955,Industrial,Solar,16318.127999999999,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1955,Industrial,Wind,21757.504,"Wind, Industrial",other,NA
1955,Residential,Geothermal,16318.127999999999,"Geothermal, Residential",other,NA
1955,Residential,Solar,16318.127999999999,"Solar, Residential","Solar, Residential","Solar, Residential"
1955,Transportation,Geothermal,16318.127999999999,"Geothermal, Transportation",other,NA
1955,Transportation,Hydroelectric,63441.36,"Hydroelectric, Transportation",other,NA
1955,Transportation,Solar,16318.127999999999,"Solar, Transportation",other,NA
1955,Transportation,Wind,21757.504,"Wind, Transportation",other,NA
1956,Commercial,Geothermal,17216.532,"Geothermal, Commercial",other,NA
1956,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1956,Commercial,Solar,17216.532,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1956,Commercial,Wind,22955.376,"Wind, Commercial",other,NA
1956,Industrial,Geothermal,17216.532,"Geothermal, Industrial",other,NA
1956,Industrial,Hydroelectric,1764.0479999999998,"Hydroelectric, Industrial",other,NA
1956,Industrial,Solar,17216.532,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1956,Industrial,Wind,22955.376,"Wind, Industrial",other,NA
1956,Residential,Geothermal,17216.532,"Geothermal, Residential",other,NA
1956,Residential,Solar,17216.532,"Solar, Residential","Solar, Residential","Solar, Residential"
1956,Transportation,Geothermal,17216.532,"Geothermal, Transportation",other,NA
1956,Transportation,Hydroelectric,67102.08,"Hydroelectric, Transportation",other,NA
1956,Transportation,Solar,17216.532,"Solar, Transportation",other,NA
1956,Transportation,Wind,22955.376,"Wind, Transportation",other,NA
1957,Commercial,Geothermal,18187.356,"Geothermal, Commercial",other,NA
1957,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1957,Commercial,Solar,18187.356,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1957,Commercial,Wind,24249.808,"Wind, Commercial",other,NA
1957,Industrial,Geothermal,18187.356,"Geothermal, Industrial",other,NA
1957,Industrial,Hydroelectric,1705.008,"Hydroelectric, Industrial",other,NA
1957,Industrial,Solar,18187.356,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1957,Industrial,Wind,24249.808,"Wind, Industrial",other,NA
1957,Residential,Geothermal,18187.356,"Geothermal, Residential",other,NA
1957,Residential,Solar,18187.356,"Solar, Residential","Solar, Residential","Solar, Residential"
1957,Transportation,Geothermal,18187.356,"Geothermal, Transportation",other,NA
1957,Transportation,Hydroelectric,71044.416,"Hydroelectric, Transportation",other,NA
1957,Transportation,Solar,18187.356,"Solar, Transportation",other,NA
1957,Transportation,Wind,24249.808,"Wind, Transportation",other,NA
1958,Commercial,Geothermal,19103.604,"Geothermal, Commercial",other,NA
1958,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1958,Commercial,Solar,19103.604,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1958,Commercial,Wind,25471.472,"Wind, Commercial",other,NA
1958,Industrial,Geothermal,19103.604,"Geothermal, Industrial",other,NA
1958,Industrial,Hydroelectric,1783.7759999999998,"Hydroelectric, Industrial",other,NA
1958,Industrial,Solar,19103.604,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1958,Industrial,Wind,25471.472,"Wind, Industrial",other,NA
1958,Residential,Geothermal,19103.604,"Geothermal, Residential",other,NA
1958,Residential,Solar,19103.604,"Solar, Residential","Solar, Residential","Solar, Residential"
1958,Transportation,Geothermal,19103.604,"Geothermal, Transportation",other,NA
1958,Transportation,Hydroelectric,74630.64,"Hydroelectric, Transportation",other,NA
1958,Transportation,Solar,19103.604,"Solar, Transportation",other,NA
1958,Transportation,Wind,25471.472,"Wind, Transportation",other,NA
1959,Commercial,Geothermal,18581.579999999998,"Geothermal, Commercial",other,NA
1959,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1959,Commercial,Solar,18581.579999999998,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1959,Commercial,Wind,24775.44,"Wind, Commercial",other,NA
1959,Industrial,Geothermal,18581.579999999998,"Geothermal, Industrial",other,NA
1959,Industrial,Hydroelectric,1776.144,"Hydroelectric, Industrial",other,NA
